"Date","icu_covid","icu_pui","icu_other","icu_available","non_icu_covid","non_icu_pui","non_icu_other","non_icu_available","vents_pts","vents_available","covid_new","covid_total","pui_total","covid_total_7davg","pui_total_7davg","covid_pct_7davg","covid_pui_pct_7davg","other_total","available_total","icu_covid_pct_7davg","icu_covid_pui_pct_7davg","non_icu_covid_pct_7davg","non_icu_covid_pui_pct_7davg","cap_pct_7davg_total","icu_cap_pct_7davg","non_icu_cap_pct_7davg","icu_covid_pct","non_icu_covid_pct","icu_cap_pct_1day","non_icu_cap_pct_1day","icu_total_patients","icu_typical_capacity","typical_icu_occupied_pct","non_icu_total_patients","non_icu_typical_capacity","typical_non_icu_occupied_pct","icu_available_under_typical","non_icu_available_under_typical"
"2021/04/03","23","0","229","88","67","0","1,472","319","166","557","12","93","0","102.85714","9.85714","5.0%","5.0%","1,701","407","8.0%","8.0%","4.0%","5.0%","19.0%","25.0%","18.0%","0.07","0.04","0.26","0.17","252","317","0.79","1,539","1,754","0.88","65","215"
"2021/04/04","23","0","213","103","71","2","1,416","360","171","552","13","98","2","102.85714","9.28571","5.0%","5.0%","1,629","463","7.0%","8.0%","4.0%","4.0%","19.0%","25.0%","18.0%","0.07","0.04","0.3","0.19","236","317","0.74","1,489","1,754","0.85","81","265"
"2021/04/05","20","0","205","111","73","5","1,388","373","154","570","21","95","5","100.14286","8.71429","5.0%","5.0%","1,593","484","7.0%","7.0%","4.0%","4.0%","20.0%","25.0%","18.0%","0.06","0.04","0.33","0.2","225","317","0.71","1,466","1,754","0.84","92","288"
"2021/04/06","21","1","207","105","79","6","1,454","311","159","563","13","103","7","98.57143","8.14286","4.0%","5.0%","1,661","416","7.0%","7.0%","4.0%","4.0%","20.0%","26.0%","18.0%","0.06","0.04","0.31","0.17","229","317","0.72","1,539","1,754","0.88","88","215"
"2021/04/07","23","1","216","93","71","9","1,471","322","166","556","11","96","10","97.28571","8.14286","4.0%","5.0%","1,687","415","7.0%","7.0%","4.0%","4.0%","20.0%","27.0%","18.0%","0.07","0.04","0.28","0.17","240","317","0.76","1,551","1,754","0.88","77","203"
"2021/04/08","21","4","217","93","75","3","1,483","315","147","575","14","97","7","96.85714","8.28571","4.0%","5.0%","1,700","408","7.0%","7.0%","4.0%","4.0%","20.0%","28.0%","18.0%","0.06","0.04","0.28","0.17","242","317","0.76","1,561","1,754","0.89","75","193"
"2021/04/09","22","1","220","98","82","9","1,461","326","161","561","19","105","10","98.14286","5.85714","4.0%","5.0%","1,681","424","6.0%","7.0%","4.0%","4.0%","20.0%","29.0%","18.0%","0.06","0.04","0.29","0.17","243","317","0.77","1,552","1,754","0.88","74","202"
"2021/04/10","18","0","215","96","75","9","1,428","355","155","567","17","94","9","98.28571","7.14286","4.0%","5.0%","1,643","451","6.0%","7.0%","4.0%","4.0%","20.0%","30.0%","18.0%","0.05","0.04","0.29","0.19","233","317","0.74","1,512","1,754","0.86","84","242"
"2021/04/11","16","0","223","95","77","7","1,378","359","161","564","14","94","7","97.71429","7.85714","4.0%","5.0%","1,601","454","6.0%","6.0%","4.0%","4.0%","20.0%","30.0%","18.0%","0.05","0.04","0.28","0.2","239","317","0.75","1,462","1,754","0.83","78","292"
"2021/04/12","17","1","215","97","72","5","1,336","394","163","538","16","90","6","97","8","4.0%","5.0%","1,551","491","6.0%","6.0%","4.0%","4.0%","20.0%","29.0%","18.0%","0.05","0.04","0.29","0.22","233","317","0.74","1,413","1,754","0.81","84","341"
"2021/04/13","14","0","224","100","63","7","1,424","318","164","0","12","80","7","93.71429","8","4.0%","5.0%","1,648","418","6.0%","6.0%","4.0%","4.0%","20.0%","29.0%","18.0%","0.04","0.03","0.3","0.18","238","317","0.75","1,494","1,754","0.85","79","260"
"2021/04/14","21","0","233","80","79","5","1,505","272","174","0","27","102","5","94.57143","7.28571","4.0%","5.0%","1,738","352","6.0%","6.0%","4.0%","4.0%","20.0%","28.0%","18.0%","0.06","0.04","0.24","0.15","254","317","0.8","1,589","1,754","0.91","63","165"
"2021/04/15","18","1","243","70","68","8","1,520","285","171","0","18","88","9","93.28571","7.57143","4.0%","5.0%","1,763","355","5.0%","6.0%","4.0%","4.0%","19.0%","27.0%","18.0%","0.05","0.04","0.21","0.15","262","317","0.83","1,596","1,754","0.91","55","158"
"2021/04/16","19","0","235","76","61","13","1,482","306","159","0","13","82","13","90","8","4.0%","5.0%","1,717","382","5.0%","5.0%","4.0%","4.0%","19.0%","26.0%","18.0%","0.06","0.03","0.23","0.16","254","317","0.8","1,556","1,754","0.89","63","198"
"2021/04/17","18","0","222","88","56","11","1,493","327","168","0","9","76","11","87.42857","8.28571","4.0%","4.0%","1,715","415","5.0%","5.0%","4.0%","4.0%","19.0%","26.0%","17.0%","0.05","0.03","0.27","0.17","240","317","0.76","1,560","1,754","0.89","77","194"
"2021/04/18","18","0","223","89","51","6","1,433","388","146","0","9","71","6","84.14286","8.14286","4.0%","4.0%","1,656","477","5.0%","5.0%","3.0%","4.0%","19.0%","26.0%","18.0%","0.05","0.03","0.27","0.21","241","317","0.76","1,490","1,754","0.85","76","264"
"2021/04/19","17","0","227","87","63","9","1,433","355","156","0","15","81","9","82.85714","8.57143","4.0%","4.0%","1,660","442","5.0%","5.0%","3.0%","4.0%","18.0%","25.0%","17.0%","0.05","0.03","0.26","0.19","244","317","0.77","1,505","1,754","0.86","73","249"
"2021/04/20","21","0","225","89","58","11","1,512","309","156","0","13","81","11","83","9.14286","4.0%","4.0%","1,737","398","6.0%","6.0%","3.0%","4.0%","18.0%","25.0%","17.0%","0.06","0.03","0.27","0.16","246","317","0.78","1,581","1,754","0.9","71","173"
"2021/04/21","19","2","225","93","50","8","1,527","295","153","0","9","70","10","78.42857","9.85714","4.0%","4.0%","1,752","388","6.0%","6.0%","3.0%","4.0%","18.0%","25.0%","17.0%","0.06","0.03","0.27","0.16","246","317","0.78","1,585","1,754","0.9","71","169"
"2021/04/22","19","1","224","90","50","7","1,517","311","151","0","11","70","8","75.85714","9.71429","3.0%","4.0%","1,741","401","6.0%","6.0%","3.0%","3.0%","19.0%","26.0%","17.0%","0.06","0.03","0.27","0.16","244","317","0.77","1,574","1,754","0.9","73","180"
"2021/04/23","19","2","232","85","45","9","1,504","320","149","0","8","65","11","73.42857","9.42857","3.0%","4.0%","1,736","405","6.0%","6.0%","3.0%","3.0%","19.0%","27.0%","18.0%","0.06","0.02","0.25","0.17","253","317","0.8","1,558","1,754","0.89","64","196"
"2021/04/24","16","1","225","90","59","9","1,458","367","153","0","14","76","10","73.42857","9.28571","3.0%","4.0%","1,683","457","6.0%","6.0%","3.0%","3.0%","19.0%","27.0%","18.0%","0.05","0.03","0.27","0.19","242","317","0.76","1,526","1,754","0.87","75","228"
"2021/04/25","17","2","218","92","66","8","1,399","390","146","0","21","85","10","75.42857","9.85714","3.0%","4.0%","1,617","482","5.0%","6.0%","3.0%","3.0%","19.0%","27.0%","18.0%","0.05","0.04","0.28","0.21","237","317","0.75","1,473","1,754","0.84","80","281"
"2021/04/26","22","3","208","96","53","7","1,420","370","149","0","9","76","10","74.71429","10","3.0%","4.0%","1,628","466","6.0%","6.0%","3.0%","3.0%","19.0%","27.0%","18.0%","0.07","0.03","0.29","0.2","233","317","0.74","1,480","1,754","0.84","84","274"
"2021/04/27","24","2","218","89","49","6","1,485","344","151","0","12","74","8","73.71429","9.57143","3.0%","4.0%","1,703","433","6.0%","6.0%","3.0%","3.0%","20.0%","27.0%","18.0%","0.07","0.03","0.27","0.18","244","317","0.77","1,540","1,754","0.88","73","214"
"2021/04/28","23","3","225","80","49","7","1,498","332","157","0","12","73","10","74.14286","9.57143","3.0%","4.0%","1,723","412","6.0%","7.0%","3.0%","3.0%","20.0%","27.0%","19.0%","0.07","0.03","0.24","0.18","251","317","0.79","1,554","1,754","0.89","66","200"
"2021/04/29","20","1","226","91","55","6","1,535","303","155","0","9","76","7","75","9.42857","3.0%","4.0%","1,761","394","6.0%","7.0%","3.0%","3.0%","20.0%","27.0%","18.0%","0.06","0.03","0.27","0.16","247","317","0.78","1,596","1,754","0.91","70","158"
"2021/04/30","19","1","239","84","56","5","1,543","299","157","0","13","76","6","76.57143","8.71429","3.0%","4.0%","1,782","383","6.0%","7.0%","3.0%","3.0%","20.0%","27.0%","18.0%","0.06","0.03","0.24","0.16","259","317","0.82","1,604","1,754","0.91","58","150"
"2021/05/01","18","1","224","93","61","5","1,529","284","155","0","12","80","6","77.14286","8.14286","3.0%","4.0%","1,753","377","6.0%","7.0%","3.0%","3.0%","19.0%","27.0%","18.0%","0.05","0.03","0.28","0.15","243","317","0.77","1,595","1,754","0.91","74","159"
"2021/05/02","18","0","219","95","51","11","1,472","341","150","0","6","70","11","75","8.28571","3.0%","4.0%","1,691","436","6.0%","7.0%","3.0%","3.0%","19.0%","27.0%","17.0%","0.05","0.03","0.29","0.18","237","317","0.75","1,534","1,754","0.87","80","220"
"2021/05/03","21","1","201","96","42","8","1,464","333","156","0","7","64","9","73.28571","8.14286","3.0%","4.0%","1,665","429","6.0%","7.0%","3.0%","3.0%","18.0%","27.0%","17.0%","0.07","0.02","0.3","0.18","223","317","0.7","1,514","1,754","0.86","94","240"
"2021/05/04","17","5","232","89","42","7","1,522","286","157","0","10","60","12","71.28571","8.71429","3.0%","4.0%","1,754","375","6.0%","6.0%","3.0%","3.0%","18.0%","27.0%","17.0%","0.05","0.02","0.26","0.15","254","317","0.8","1,571","1,754","0.9","63","183"
"2021/05/05","15","2","243","76","45","7","1,564","282","157","0","6","63","9","69.85714","8.57143","3.0%","4.0%","1,807","358","5.0%","6.0%","3.0%","3.0%","18.0%","27.0%","16.0%","0.04","0.02","0.23","0.15","260","317","0.82","1,616","1,754","0.92","57","138"
"2021/05/06","16","1","256","71","52","12","1,552","282","162","0","6","70","13","69","9.42857","3.0%","4.0%","1,808","353","5.0%","6.0%","3.0%","3.0%","17.0%","26.0%","16.0%","0.05","0.03","0.21","0.15","273","317","0.86","1,616","1,754","0.92","44","138"
"2021/05/07","19","1","239","80","50","11","1,553","276","153","0","13","71","12","68.28571","10.28571","3.0%","4.0%","1,792","356","5.0%","6.0%","3.0%","3.0%","17.0%","26.0%","16.0%","0.06","0.03","0.24","0.15","259","317","0.82","1,614","1,754","0.92","58","140"
"2021/05/08","16","2","231","84","57","6","1,546","298","143","0","12","75","8","67.57143","10.57143","3.0%","4.0%","1,777","382","5.0%","6.0%","3.0%","3.0%","17.0%","25.0%","16.0%","0.05","0.03","0.25","0.16","249","317","0.79","1,609","1,754","0.92","68","145"
"2021/05/09","13","2","225","93","50","8","1,416","379","145","0","6","65","10","66.85714","10.42857","3.0%","3.0%","1,641","472","5.0%","6.0%","3.0%","3.0%","18.0%","25.0%","16.0%","0.04","0.03","0.28","0.2","240","317","0.76","1,474","1,754","0.84","77","280"
"2021/05/10","14","2","212","103","50","7","1,417","376","137","0","6","69","9","67.57143","10.42857","3.0%","4.0%","1,629","479","5.0%","5.0%","3.0%","3.0%","18.0%","25.0%","17.0%","0.04","0.03","0.31","0.2","228","317","0.72","1,474","1,754","0.84","89","280"
"2021/05/11","14","1","214","99","40","9","1,538","303","140","0","10","59","10","67.42857","10.14286","3.0%","3.0%","1,752","402","5.0%","5.0%","3.0%","3.0%","18.0%","26.0%","17.0%","0.04","0.02","0.3","0.16","229","317","0.72","1,587","1,754","0.9","88","167"
"2021/05/12","13","6","202","111","46","9","1,551","283","156","0","9","62","15","67.28571","11","3.0%","4.0%","1,753","394","4.0%","5.0%","3.0%","3.0%","18.0%","27.0%","17.0%","0.04","0.02","0.33","0.15","221","317","0.7","1,606","1,754","0.92","96","148"
"2021/05/13","15","2","220","98","41","9","1,582","272","151","0","3","59","11","65.71429","10.71429","3.0%","3.0%","1,802","370","4.0%","5.0%","3.0%","3.0%","18.0%","29.0%","17.0%","0.04","0.02","0.29","0.14","237","317","0.75","1,632","1,754","0.93","80","122"
"2021/05/14","14","2","232","92","45","9","1,594","279","144","0","9","62","11","64.42857","10.57143","3.0%","3.0%","1,826","371","4.0%","5.0%","2.0%","3.0%","18.0%","29.0%","17.0%","0.04","0.02","0.27","0.14","248","317","0.78","1,648","1,754","0.94","69","106"
"2021/05/15","12","1","240","84","47","5","1,572","299","146","0","6","62","6","62.57143","10.28571","3.0%","3.0%","1,812","383","4.0%","5.0%","2.0%","3.0%","18.0%","29.0%","17.0%","0.04","0.02","0.25","0.16","253","317","0.8","1,624","1,754","0.93","64","130"
"2021/05/16","12","2","225","97","46","10","1,496","324","143","0","8","62","12","62.14286","10.57143","3.0%","3.0%","1,721","421","4.0%","5.0%","2.0%","3.0%","18.0%","29.0%","16.0%","0.04","0.02","0.29","0.17","239","317","0.75","1,552","1,754","0.88","78","202"
"2021/05/17","12","2","215","106","51","5","1,488","341","139","0","7","66","7","61.71429","10.28571","3.0%","3.0%","1,703","447","4.0%","5.0%","2.0%","3.0%","18.0%","29.0%","16.0%","0.04","0.03","0.32","0.18","229","317","0.72","1,544","1,754","0.88","88","210"
"2021/05/18","12","1","232","95","48","4","1,544","273","130","0","6","63","5","62.28571","9.57143","3.0%","3.0%","1,776","368","4.0%","5.0%","2.0%","3.0%","18.0%","29.0%","16.0%","0.04","0.03","0.28","0.15","245","317","0.77","1,596","1,754","0.91","72","158"
"2021/05/19","14","0","239","80","45","2","1,568","287","132","0","6","61","2","62.14286","7.71429","3.0%","3.0%","1,807","367","4.0%","4.0%","2.0%","3.0%","17.0%","28.0%","16.0%","0.04","0.02","0.24","0.15","253","317","0.8","1,615","1,754","0.92","64","139"
"2021/05/20","14","0","235","90","38","2","1,573","283","125","0","1","54","2","61.42857","6.42857","3.0%","3.0%","1,808","373","4.0%","4.0%","2.0%","3.0%","17.0%","27.0%","16.0%","0.04","0.02","0.27","0.15","249","317","0.79","1,613","1,754","0.92","68","141"
"2021/05/21","16","1","218","94","43","1","1,563","289","134","0","11","61","2","61.28571","5.14286","3.0%","3.0%","1,781","383","4.0%","4.0%","2.0%","3.0%","18.0%","28.0%","16.0%","0.05","0.02","0.29","0.15","235","317","0.74","1,607","1,754","0.92","82","147"
"2021/05/22","17","1","212","99","41","3","1,503","341","135","0","5","60","4","61","4.85714","3.0%","3.0%","1,715","440","4.0%","4.0%","2.0%","3.0%","18.0%","28.0%","16.0%","0.05","0.02","0.3","0.18","230","317","0.73","1,547","1,754","0.88","87","207"
"2021/05/23","17","1","209","103","33","4","1,463","353","126","0","4","52","5","59.57143","3.85714","3.0%","3.0%","1,672","456","4.0%","5.0%","2.0%","2.0%","18.0%","29.0%","16.0%","0.05","0.02","0.31","0.19","227","317","0.72","1,500","1,754","0.86","90","254"

